stage,sym,firm,risk,max_days,target,baseline_seed,sim,exit_hour,expire_hour,max_range_atr,min_range_atr,rng_type,rr,sl_frac,max_trades_day,is_n,is_pass_pct,is_pass_inc_pct,is_fail_pct,is_timeout_pct,is_days_med,is_trades,is_endbal,oos_n,oos_pass_pct,oos_pass_inc_pct,oos_fail_pct,oos_timeout_pct,oos_days_med,oos_trades,oos_endbal,trail,sl_atr,strat_key,exec_key,skip_dow,risk_on_balance,day_stop_pct
1,XAUUSD,ftmo_1step,2.0,,,,,23.0,17.0,3.0,0.3,asian,1.0,1.0,1,338,0.0,0.0,2.4,97.6,,3.6,99702.0,163,0.0,0.0,1.8,98.2,,3.5,99514.0,,,"(('rng_type', 'asian'), ('expire_hour', 17), ('exit_hour', 23), ('sl_frac', 1.0), ('rr', 1.0), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
1,XAUUSD,fundingpips_1step,2.0,,,,,23.0,17.0,3.0,0.3,asian,1.0,1.0,1,338,0.0,0.0,10.4,89.6,,3.5,99722.0,163,0.0,0.0,14.1,85.9,,3.4,99501.0,,,"(('rng_type', 'asian'), ('expire_hour', 17), ('exit_hour', 23), ('sl_frac', 1.0), ('rr', 1.0), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
1,XAUUSD,ftmo_1step,2.0,,,,,23.0,17.0,3.0,0.3,asian,2.0,1.0,1,338,2.7,0.0,4.8,92.6,6.6,3.5,99873.0,163,2.5,0.6,3.7,93.3,5.8,3.4,99891.0,,,"(('rng_type', 'asian'), ('expire_hour', 17), ('exit_hour', 23), ('sl_frac', 1.0), ('rr', 2.0), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
1,XAUUSD,fundingpips_1step,2.0,,,,,23.0,17.0,3.0,0.3,asian,2.0,1.0,1,338,2.7,0.0,15.4,82.0,6.6,3.4,99853.0,163,3.1,0.0,19.7,77.3,6.6,3.3,99848.0,,,"(('rng_type', 'asian'), ('expire_hour', 17), ('exit_hour', 23), ('sl_frac', 1.0), ('rr', 2.0), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
1,XAUUSD,ftmo_1step,2.0,,,,,23.0,17.0,3.0,0.3,asian,3.0,1.0,1,338,2.4,3.8,6.3,87.6,5.3,3.4,100137.0,163,3.7,0.6,6.2,89.6,4.8,3.4,99968.0,,,"(('rng_type', 'asian'), ('expire_hour', 17), ('exit_hour', 23), ('sl_frac', 1.0), ('rr', 3.0), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
1,XAUUSD,fundingpips_1step,2.0,,,,,23.0,17.0,3.0,0.3,asian,3.0,1.0,1,338,6.2,0.0,16.6,77.2,3.7,3.3,100122.0,163,4.3,0.0,20.3,75.5,4.6,3.3,99959.0,,,"(('rng_type', 'asian'), ('expire_hour', 17), ('exit_hour', 23), ('sl_frac', 1.0), ('rr', 3.0), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
1,XAUUSD,ftmo_1step,2.0,,,,,23.0,17.0,3.0,0.3,asian,0.0,1.0,1,338,0.0,3.0,0.3,96.7,,3.5,99810.0,163,0.6,1.2,0.0,98.2,6.9,3.5,99875.0,1.5,,"(('rng_type', 'asian'), ('expire_hour', 17), ('exit_hour', 23), ('sl_frac', 1.0), ('rr', 0.0), ('trail', 1.5), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
1,XAUUSD,fundingpips_1step,2.0,,,,,23.0,17.0,3.0,0.3,asian,0.0,1.0,1,338,3.0,0.0,3.8,93.2,2.3,3.5,99816.0,163,1.8,0.0,4.9,93.3,6.9,3.5,99883.0,1.5,,"(('rng_type', 'asian'), ('expire_hour', 17), ('exit_hour', 23), ('sl_frac', 1.0), ('rr', 0.0), ('trail', 1.5), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
1,XAUUSD,ftmo_1step,2.0,,,,,23.0,17.0,3.0,0.3,asian,1.0,0.5,1,338,0.0,0.0,3.8,96.2,,3.6,98324.0,163,0.0,0.0,4.9,95.1,,3.5,98251.0,,,"(('rng_type', 'asian'), ('expire_hour', 17), ('exit_hour', 23), ('sl_frac', 0.5), ('rr', 1.0), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
1,XAUUSD,fundingpips_1step,2.0,,,,,23.0,17.0,3.0,0.3,asian,1.0,0.5,1,338,0.0,0.0,25.4,74.6,,3.4,98404.0,163,0.0,0.0,23.9,76.1,,3.3,98416.0,,,"(('rng_type', 'asian'), ('expire_hour', 17), ('exit_hour', 23), ('sl_frac', 0.5), ('rr', 1.0), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
1,XAUUSD,ftmo_1step,2.0,,,,,23.0,17.0,3.0,0.3,asian,2.0,0.5,1,338,3.0,0.0,10.1,87.0,6.4,3.5,98424.0,163,1.8,0.0,9.2,89.0,4.4,3.4,98335.0,,,"(('rng_type', 'asian'), ('expire_hour', 17), ('exit_hour', 23), ('sl_frac', 0.5), ('rr', 2.0), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
1,XAUUSD,fundingpips_1step,2.0,,,,,23.0,17.0,3.0,0.3,asian,2.0,0.5,1,338,3.3,0.0,30.5,66.3,6.4,3.3,98590.0,163,1.8,0.0,33.1,65.0,4.4,3.1,98401.0,,,"(('rng_type', 'asian'), ('expire_hour', 17), ('exit_hour', 23), ('sl_frac', 0.5), ('rr', 2.0), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
1,XAUUSD,ftmo_1step,2.0,,,,,23.0,17.0,3.0,0.3,asian,3.0,0.5,1,338,1.2,3.0,16.0,79.9,6.6,3.4,98529.0,163,0.0,4.3,13.5,82.2,,3.3,98531.0,,,"(('rng_type', 'asian'), ('expire_hour', 17), ('exit_hour', 23), ('sl_frac', 0.5), ('rr', 3.0), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
1,XAUUSD,fundingpips_1step,2.0,,,,,23.0,17.0,3.0,0.3,asian,3.0,0.5,1,338,4.4,0.0,36.7,58.9,4.4,3.2,98665.0,163,5.5,0.0,38.6,55.8,3.6,3.0,98732.0,,,"(('rng_type', 'asian'), ('expire_hour', 17), ('exit_hour', 23), ('sl_frac', 0.5), ('rr', 3.0), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
1,XAUUSD,ftmo_1step,2.0,,,,,23.0,17.0,3.0,0.3,asian,0.0,0.5,1,338,0.6,7.7,9.2,82.5,6.8,3.4,98789.0,163,0.0,6.7,7.4,85.9,,3.3,98840.0,1.5,,"(('rng_type', 'asian'), ('expire_hour', 17), ('exit_hour', 23), ('sl_frac', 0.5), ('rr', 0.0), ('trail', 1.5), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
1,XAUUSD,fundingpips_1step,2.0,,,,,23.0,17.0,3.0,0.3,asian,0.0,0.5,1,338,9.5,0.0,25.4,65.1,3.8,3.2,99030.0,163,7.4,0.0,25.8,66.9,3.6,3.2,99005.0,1.5,,"(('rng_type', 'asian'), ('expire_hour', 17), ('exit_hour', 23), ('sl_frac', 0.5), ('rr', 0.0), ('trail', 1.5), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
1,XAUUSD,ftmo_1step,2.0,,,,,23.0,17.0,3.0,0.3,asian,1.0,1.0,1,338,0.0,0.0,3.3,96.7,,3.6,97662.0,163,0.0,0.0,3.1,96.9,,3.5,97802.0,,1.0,"(('rng_type', 'asian'), ('expire_hour', 17), ('exit_hour', 23), ('sl_frac', 1.0), ('sl_atr', 1.0), ('rr', 1.0), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
1,XAUUSD,fundingpips_1step,2.0,,,,,23.0,17.0,3.0,0.3,asian,1.0,1.0,1,338,0.0,0.0,28.4,71.6,,3.4,97727.0,163,0.0,0.0,28.8,71.2,,3.3,97821.0,,1.0,"(('rng_type', 'asian'), ('expire_hour', 17), ('exit_hour', 23), ('sl_frac', 1.0), ('sl_atr', 1.0), ('rr', 1.0), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
1,XAUUSD,ftmo_1step,2.0,,,,,23.0,17.0,3.0,0.3,asian,2.0,1.0,1,338,2.1,0.0,10.1,87.9,6.4,3.5,97666.0,163,1.2,0.0,10.4,88.3,3.1,3.5,97775.0,,1.0,"(('rng_type', 'asian'), ('expire_hour', 17), ('exit_hour', 23), ('sl_frac', 1.0), ('sl_atr', 1.0), ('rr', 2.0), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
1,XAUUSD,fundingpips_1step,2.0,,,,,23.0,17.0,3.0,0.3,asian,2.0,1.0,1,338,2.1,0.0,35.2,62.7,6.4,3.3,97854.0,163,1.2,0.0,40.5,58.3,3.1,3.1,97633.0,,1.0,"(('rng_type', 'asian'), ('expire_hour', 17), ('exit_hour', 23), ('sl_frac', 1.0), ('sl_atr', 1.0), ('rr', 2.0), ('min_range_atr', 0.3), ('max_range_atr', 3.0))","(('max_trades_day', 1),)",,,
