compress_k,sl_mult,tp_r,entry_end,exit_eod,vol_mult,net,usd_h,pf,dd,trades,wr,score
0.35,0.5,3.0,16,True,0.0,-51.74,-0.0039,0.937,114.21,188,37.2,0.0
0.5,0.5,1.5,13,False,1.2,-13.52,-0.001,0.979,127.07,123,43.9,0.0
0.5,0.5,1.5,16,True,0.0,-34.67,-0.0026,0.974,138.73,310,43.2,0.0
0.5,0.5,1.5,16,True,1.2,-102.77,-0.0078,0.91,123.12,264,43.2,0.0
0.5,0.5,1.5,16,False,0.0,-84.87,-0.0065,0.946,182.1,300,42.0,0.0
0.5,0.5,1.5,16,False,1.2,-98.71,-0.0075,0.926,112.63,256,42.2,0.0
0.35,1.0,3.0,13,False,1.2,-2.14,-0.0002,0.995,122.75,63,27.0,0.0
0.35,1.0,2.0,13,True,0.0,-23.78,-0.0018,0.955,143.92,128,38.3,0.0
0.35,1.0,3.0,13,False,0.0,-20.56,-0.0016,0.972,150.44,108,26.9,0.0
0.35,1.0,3.0,13,True,0.0,-134.83,-0.0103,0.754,171.42,128,35.2,0.0
0.35,1.0,3.0,16,True,1.2,-23.64,-0.0018,0.961,105.95,157,40.1,0.0
0.35,1.0,3.0,16,True,0.0,-74.38,-0.0057,0.9,113.06,188,38.8,0.0
0.35,1.0,3.0,16,False,0.0,-70.22,-0.0053,0.934,189.19,156,26.3,0.0
0.5,0.5,3.0,16,False,1.2,-22.09,-0.0017,0.985,221.31,230,27.8,0.0
0.7,0.5,3.0,13,True,0.0,-148.58,-0.0113,0.885,218.66,257,35.4,0.0
0.7,0.5,1.5,13,False,0.0,-91.66,-0.007,0.932,241.42,251,41.8,0.0
0.7,0.5,1.5,16,False,1.2,-69.1,-0.0053,0.959,148.38,324,43.2,0.0
0.7,0.5,1.5,16,False,0.0,-11.55,-0.0009,0.994,147.33,376,43.6,0.0
0.7,0.5,1.5,13,True,0.0,-39.42,-0.003,0.966,168.14,257,42.8,0.0
0.7,0.5,1.5,13,False,1.2,-17.33,-0.0013,0.978,143.12,152,44.1,0.0
0.7,0.5,1.5,16,True,1.2,-97.48,-0.0074,0.934,144.28,338,43.5,0.0
0.5,1.0,3.0,13,True,0.0,-77.4,-0.0059,0.917,212.24,209,39.7,0.0
0.5,1.0,1.5,13,False,1.2,-12.73,-0.001,0.98,121.4,117,42.7,0.0
0.5,0.5,3.0,13,True,0.0,-158.77,-0.0121,0.848,199.74,209,34.9,0.0
0.5,0.5,3.0,16,True,0.0,-16.47,-0.0013,0.989,173.1,310,37.7,0.0
0.7,1.0,2.0,13,True,0.0,-22.75,-0.0017,0.981,303.94,257,41.2,0.0
0.7,1.0,3.0,13,False,1.2,-77.75,-0.0059,0.924,228.89,124,26.6,0.0
0.7,1.0,3.0,13,False,0.0,-96.99,-0.0074,0.936,293.14,180,26.1,0.0
0.7,1.0,3.0,13,True,0.0,-115.24,-0.0088,0.907,321.2,257,39.7,0.0
0.7,1.0,3.0,16,True,0.0,-26.21,-0.002,0.985,306.5,393,42.5,0.0
9.0,0.5,1.5,16,True,0.0,-51.4,-0.0039,0.973,179.49,439,43.3,0.0
9.0,0.5,1.5,13,True,0.0,-123.22,-0.0094,0.908,236.39,285,42.5,0.0
9.0,0.5,1.5,13,False,0.0,-216.51,-0.0165,0.863,303.4,275,40.7,0.0
9.0,0.5,1.5,13,False,1.2,-18.38,-0.0014,0.98,251.09,172,44.2,0.0
9.0,0.5,1.5,16,False,0.0,-121.3,-0.0092,0.946,217.59,413,42.6,0.0
9.0,0.5,1.5,16,True,1.2,-68.72,-0.0052,0.958,127.62,379,43.5,0.0
9.0,0.5,1.5,16,False,1.2,-62.61,-0.0048,0.968,222.35,359,43.2,0.0
9.0,0.5,3.0,16,True,0.0,-38.08,-0.0029,0.982,224.66,439,38.0,0.0
9.0,0.5,3.0,13,False,0.0,-11.02,-0.0008,0.994,220.21,249,28.5,0.0
9.0,0.5,3.0,13,True,0.0,-247.84,-0.0189,0.834,286.37,285,35.1,0.0
9.0,1.0,3.0,13,False,0.0,-545.6,-0.0416,0.654,576.73,147,21.1,0.0
9.0,1.0,3.0,13,True,0.0,-100.96,-0.0077,0.927,294.35,285,40.7,0.0
9.0,1.0,3.0,13,False,1.2,-170.49,-0.013,0.847,309.41,109,24.8,0.0
9.0,1.0,3.0,16,True,0.0,-25.97,-0.002,0.987,291.29,439,42.8,0.0
9.0,1.0,3.0,16,False,0.0,-30.73,-0.0023,0.982,328.03,170,28.2,0.0
9.0,1.0,3.0,16,False,1.2,-134.6,-0.0103,0.918,424.13,161,28.0,0.0
