dt,open,high,low,close,volume
2026-05-30 23:00:00+00:00,73779.01,73887.58,73680.0,73762.15,15.33885667
2026-05-31 00:00:00+00:00,73775.0,73928.0,73753.0,73921.49,9.96512787
2026-05-31 01:00:00+00:00,73919.33,74162.97,73911.46,73942.85,18.58858694
2026-05-31 02:00:00+00:00,73953.78,74126.23,73774.0,73982.85,23.00069603
2026-05-31 03:00:00+00:00,73983.13,74109.0,73960.01,74047.01,7.98981497
2026-05-31 04:00:00+00:00,74047.0,74115.39,73993.0,74076.01,11.74304131
2026-05-31 05:00:00+00:00,74065.62,74095.99,73944.47,73957.49,8.0264282
2026-05-31 06:00:00+00:00,73944.26,73989.58,73883.12,73948.02,4.68927987
2026-05-31 07:00:00+00:00,73936.85,73936.85,73728.0,73759.34,8.30558872
2026-05-31 08:00:00+00:00,73761.63,73875.66,73747.29,73847.34,5.28470787
2026-05-31 09:00:00+00:00,73838.39,73917.99,73711.0,73726.62,8.869455480000001
2026-05-31 10:00:00+00:00,73726.61,73791.16,73625.65,73791.16,11.4124532
2026-05-31 11:00:00+00:00,73791.15,73868.0,73791.15,73846.56,10.54730175
2026-05-31 12:00:00+00:00,73840.81,73889.0,73772.31,73810.01,19.67294519
2026-05-31 13:00:00+00:00,73810.0,73913.35,73705.68,73759.98,11.309061439999999
2026-05-31 14:00:00+00:00,73759.99,73759.99,73360.45,73497.98,66.38920552
2026-05-31 15:00:00+00:00,73497.0,73666.0,73485.01,73545.44,15.97860728
2026-05-31 16:00:00+00:00,73545.43,73619.01,73289.97,73429.48,23.35757134
2026-05-31 17:00:00+00:00,73422.88,73634.89,73361.01,73604.0,18.88353754
2026-05-31 18:00:00+00:00,73613.02,73613.02,73478.93,73503.43,19.36134065
2026-05-31 19:00:00+00:00,73505.94,73543.96,73347.53,73458.96,14.39926707
2026-05-31 20:00:00+00:00,73460.98,73649.07,73460.98,73639.26,15.49867659
2026-05-31 21:00:00+00:00,73639.27,73811.09,73519.53,73787.2,31.25870041
2026-05-31 22:00:00+00:00,73776.0,73894.65,73572.22,73839.0,13.07821474
2026-05-31 23:00:00+00:00,73839.0,74094.65,73400.02,73567.99,43.76487098
2026-06-01 00:00:00+00:00,73568.0,73984.48,73553.15,73780.64,91.28303706
2026-06-01 01:00:00+00:00,73783.0,73807.4,73181.99,73189.99,33.11447901
2026-06-01 02:00:00+00:00,73182.82,73778.0,73119.67,73689.01,28.68666697
2026-06-01 03:00:00+00:00,73695.0,73919.01,73627.0,73666.48,30.14473383
