step_atr_mult,hours,lot_mult,max_levels,basket_sl_usd,tp_pips,risk_scale,max_basket_hours,vol_filter,net,usd_per_hour,max_dd_usd,max_dd_pct,ruined_at,stopouts,baskets_closed,sl_hits,tp_hits,time_hits,worst_basket,max_lots
0.5,7-20,1.0,6,100,6,False,24,False,-1000.0,-0.0223,1018.82,100.0,2013-04-25 10:00:00,1,1307,1,1231,74,-105.44,0.1
1.0,12-21,1.0,3,150,10,False,24,False,-1000.0,-0.0223,1024.35,100.0,2015-05-08 15:00:00,1,4446,0,3987,458,-90.26,0.06
1.0,7-20,1.2,6,100,6,True,72,True,-1000.0,-0.0223,1028.31,100.0,2013-07-05 14:00:00,1,1227,7,1190,29,-129.87,0.1
1.5,12-21,1.2,3,150,6,False,24,True,-1000.0,-0.0223,1002.39,100.0,2014-05-13 15:00:00,5,2636,0,2426,205,-48.99,0.05
1.0,all,1.2,4,150,6,True,24,False,-1000.0,-0.0223,1016.67,100.0,2013-07-04 16:00:00,2,2211,0,2062,147,-63.95,0.07
2.0,12-21,1.0,6,250,6,True,168,True,-1000.0,-0.0223,1032.11,100.0,2014-09-16 16:00:00,5,2201,1,2162,33,-250.32,0.1
0.5,all,1.2,3,150,10,True,24,True,-1000.0,-0.0223,1002.95,100.0,2014-01-30 10:00:00,2,2994,0,2729,263,-74.04,0.06
2.0,7-20,1.0,6,100,6,False,24,True,-1000.0,-0.0223,1002.09,100.0,2013-10-23 09:00:00,2,2120,0,1963,155,-60.32,0.06
1.5,all,1.2,3,60,10,True,24,True,-1000.0,-0.0223,1003.2,100.0,2015-05-15 17:00:00,2,5836,6,5263,565,-131.88,0.06
1.5,7-20,1.2,3,250,6,False,24,False,-1000.0,-0.0223,1006.12,100.0,2013-10-18 12:00:00,3,2506,0,2324,179,-64.9,0.06
0.5,7-20,1.2,4,150,10,False,72,False,-1000.0,-0.0223,1019.43,100.0,2014-09-17 21:00:00,2,3286,0,3140,144,-112.54,0.08
1.0,12-21,1.0,6,100,6,False,168,False,-1000.0,-0.0223,1002.42,100.0,2013-07-11 00:00:00,0,1141,14,1124,3,-171.38,0.11
