step_atr_mult,hours,lot_mult,max_levels,basket_sl_usd,tp_pips,risk_scale,max_basket_hours,vol_filter,net,usd_per_hour,max_dd_usd,max_dd_pct,ruined_at,stopouts,baskets_closed,sl_hits,tp_hits,time_hits,worst_basket,max_lots
2.0,7-20,1.0,6,60,10,True,72,True,-1000.0,-0.0223,1196.21,100.0,2016-05-03 17:00:00,3,5406,56,5141,206,-99.63,0.09
1.0,all,1.0,6,250,10,False,24,True,-1000.0,-0.0223,1010.22,100.0,2015-03-18 22:00:00,1,5061,0,4519,541,-204.82,0.09
0.5,12-21,1.0,4,250,10,True,24,False,-1000.0,-0.0223,1021.47,100.0,2015-03-18 20:00:00,1,3959,0,3498,460,-132.75,0.08
1.5,all,1.2,3,100,10,True,24,False,-1000.0,-0.0223,1021.74,100.0,2015-06-02 16:00:00,1,6005,2,5300,702,-128.02,0.06
1.0,12-21,1.0,6,100,10,False,24,False,-1000.0,-0.0223,1019.3,100.0,2015-03-20 18:00:00,1,3898,3,3431,463,-158.78,0.08
1.0,all,1.2,6,60,6,False,72,True,-1000.0,-0.0223,1007.06,100.0,2014-09-05 14:00:00,2,3914,35,3795,82,-91.87,0.11
2.0,all,1.0,3,150,6,True,168,False,-1000.0,-0.0223,1017.73,100.0,2015-03-18 22:00:00,0,3796,2,3725,69,-153.4,0.06
2.0,all,1.2,4,150,10,True,72,True,-273.25,-0.0061,1053.55,81.4,,0,8290,3,7888,399,-177.64,0.08
1.5,7-20,1.2,6,150,6,False,72,False,-1000.0,-0.0223,1001.48,100.0,2014-10-31 14:00:00,1,3837,0,3707,129,-118.2,0.09
1.0,all,1.0,3,150,10,True,168,True,-756.21,-0.0168,930.26,87.8,,0,6413,3,6224,186,-157.22,0.06
2.0,all,1.2,4,100,10,False,168,False,-1000.0,-0.0223,1024.17,100.0,2015-11-06 15:00:00,1,4289,28,4196,64,-141.89,0.08
1.0,7-20,1.2,3,150,10,False,168,False,-1000.0,-0.0223,1011.2,100.0,2015-08-27 07:00:00,1,3514,3,3412,98,-157.22,0.06
2.0,12-21,1.2,6,250,10,False,168,False,-1000.0,-0.0223,1140.73,100.0,2015-08-24 16:00:00,0,3080,2,3017,61,-313.38,0.1
2.0,7-20,1.2,6,150,6,True,24,False,-1000.0,-0.0223,1009.47,100.0,2014-05-13 14:00:00,3,3595,0,3265,327,-101.54,0.07
2.0,12-21,1.0,3,60,10,True,72,False,-1000.0,-0.0223,1007.48,100.0,2015-05-20 03:00:00,0,3267,20,3063,184,-115.61,0.06
0.5,all,1.2,4,250,6,False,72,False,-1000.0,-0.0223,1000.64,100.0,2014-10-09 09:00:00,1,4588,0,4442,145,-124.18,0.08
1.0,all,1.0,4,150,6,False,168,False,-1000.0,-0.0223,1021.85,100.0,2014-10-03 14:00:00,2,3439,1,3381,55,-163.66,0.08
2.0,12-21,1.2,4,60,10,False,24,False,-1000.0,-0.0223,1018.85,100.0,2015-06-02 15:00:00,2,4069,4,3518,545,-115.61,0.06
0.5,all,1.0,6,150,10,True,168,False,-1000.0,-0.0223,1011.43,100.0,2015-02-03 20:00:00,2,3524,15,3452,55,-230.23,0.12
2.0,12-21,1.0,6,150,10,True,24,False,-1000.0,-0.0223,1018.85,100.0,2015-06-02 16:00:00,1,4068,1,3519,547,-171.56,0.07
1.0,7-20,1.0,6,250,10,False,168,False,-1000.0,-0.0223,1029.59,100.0,2015-04-06 22:00:00,2,3326,1,3263,60,-265.17,0.12
1.0,12-21,1.2,4,60,10,True,168,False,-1000.0,-0.0223,1026.1,100.0,2015-06-02 16:00:00,0,3258,67,3166,25,-101.12,0.08
1.0,all,1.2,4,250,6,True,72,True,-1000.0,-0.0223,1022.85,100.0,2015-01-05 00:00:00,0,4455,0,4317,138,-106.92,0.08
0.5,all,1.2,6,150,10,False,72,False,-1000.0,-0.0223,1030.82,100.0,2015-03-18 22:00:00,0,4578,8,4393,177,-230.23,0.12
1.0,all,1.0,3,60,6,False,24,False,-1000.0,-0.0223,1010.57,100.0,2013-10-23 08:00:00,5,3028,5,2796,222,-65.53,0.06
1.5,12-21,1.0,3,100,10,False,72,False,-1000.0,-0.0223,1003.6,100.0,2015-05-14 13:00:00,2,3281,5,3083,191,-125.16,0.06
2.0,7-20,1.0,4,100,6,False,24,True,-1000.0,-0.0223,1000.12,100.0,2014-05-15 16:00:00,3,3255,1,2960,291,-141.16,0.05
1.0,7-20,1.0,6,250,6,True,72,True,-1000.0,-0.0223,1056.15,100.0,2014-10-13 22:00:00,2,3603,0,3494,107,-137.19,0.11
1.0,all,1.0,3,60,10,False,24,True,-1000.0,-0.0223,1003.48,100.0,2015-03-23 08:00:00,3,5032,9,4465,555,-70.7,0.06
2.0,all,1.0,4,250,10,False,168,True,-261.61,-0.0058,790.01,63.0,,0,6534,0,6393,141,-179.82,0.08
1.5,7-20,1.0,3,150,6,True,72,True,-1000.0,-0.0223,1007.01,100.0,2015-01-23 07:00:00,1,3809,0,3661,147,-87.71,0.06
1.0,12-21,1.2,3,250,6,False,24,True,-1000.0,-0.0223,1006.82,100.0,2014-10-06 20:00:00,1,3222,0,2924,297,-55.0,0.06
2.0,all,1.0,3,250,6,True,168,False,-1000.0,-0.0223,1017.73,100.0,2015-04-06 15:00:00,3,3876,0,3801,72,-119.62,0.06
1.5,all,1.2,3,60,10,False,72,False,-1000.0,-0.0223,1106.51,100.0,2016-03-10 18:00:00,0,6140,44,5833,263,-80.48,0.06
0.5,12-21,1.0,3,60,10,True,24,False,-1000.0,-0.0223,1019.34,100.0,2015-03-11 11:00:00,1,3851,6,3359,485,-112.97,0.06
1.0,all,1.2,4,150,6,True,72,True,-1000.0,-0.0223,1022.85,100.0,2015-01-02 09:00:00,0,4452,1,4314,137,-163.66,0.08
1.0,all,1.2,3,60,6,False,168,False,-1000.0,-0.0223,1004.24,100.0,2014-10-01 12:00:00,7,3304,32,3228,37,-73.97,0.06
2.0,7-20,1.2,3,150,6,True,24,False,-1000.0,-0.0223,1009.47,100.0,2014-07-30 14:00:00,3,3998,0,3607,388,-92.14,0.05
1.5,7-20,1.2,6,250,10,False,72,False,-1000.0,-0.0223,1115.36,100.0,2015-05-27 14:00:00,2,4135,0,3941,192,-175.13,0.11
1.5,7-20,1.2,3,250,10,True,168,True,-505.15,-0.0113,795.82,74.6,,0,5946,0,5782,164,-148.31,0.06
1.0,all,1.2,4,100,10,False,168,False,-1000.0,-0.0223,1019.27,100.0,2015-05-12 10:00:00,2,3700,27,3610,61,-163.66,0.08
2.0,7-20,1.2,3,150,10,True,168,True,-475.53,-0.0106,848.0,75.0,,0,5908,2,5756,150,-183.42,0.06
1.5,12-21,1.0,4,250,10,False,24,False,-1000.0,-0.0223,1018.37,100.0,2015-06-02 16:00:00,1,4142,0,3610,531,-129.28,0.08
1.5,all,1.0,3,150,6,False,168,True,-1000.0,-0.0223,1053.27,100.0,2015-03-18 22:00:00,1,3665,1,3593,70,-157.72,0.06
