sym,entry,tf,atr_stop,trail,friday,rule,max_days,risk,mode,sample,max_starts,n,pass_pct,pass_inconsistent_pct,fail_daily_pct,fail_max_pct,timeout_pct,days_to_pass_median,trades_mean,max_dd_mean,worst_day_mean,end_balance_mean,burn_pct,secs,stage
BTCUSD,don20,1h,1.0,1.0,True,fundingpips_1step,7,0.5,fixed,IS,400,390,0.0,0.0,0.0,0.0,100.0,,5.7,2.02,-0.54,100028.0,0.0,1.3,2
BTCUSD,don20,1h,1.0,1.0,True,fundingpips_1step,14,0.5,fixed,IS,400,390,0.8,0.0,0.0,0.0,99.2,13.1,11.4,2.98,-0.57,100061.0,0.0,2.4,2
BTCUSD,don20,1h,1.0,1.0,True,fundingpips_1step,7,0.5,balance,IS,400,390,0.0,0.0,0.0,0.0,100.0,,5.7,2.02,-0.54,100029.0,0.0,1.2,2
BTCUSD,don20,1h,1.0,1.0,True,fundingpips_1step,14,0.5,balance,IS,400,390,0.8,0.0,0.0,0.0,99.2,13.1,11.4,2.98,-0.57,100067.0,0.0,2.6,2
BTCUSD,don20,1h,1.0,1.0,True,fundingpips_1step,7,1.0,fixed,IS,400,390,2.1,0.0,0.0,2.1,95.9,5.2,5.7,4.05,-1.08,100053.0,2.1,1.3,2
BTCUSD,don20,1h,1.0,1.0,True,fundingpips_1step,14,1.0,fixed,IS,400,390,5.6,0.0,0.0,17.2,77.2,8.6,10.7,5.69,-1.14,100081.0,17.2,2.5,2
BTCUSD,don20,1h,1.0,1.0,True,fundingpips_1step,7,1.0,balance,IS,400,390,2.3,0.0,0.0,1.3,96.4,5.7,5.7,4.05,-1.09,100059.0,1.3,1.3,2
BTCUSD,don20,1h,1.0,1.0,True,fundingpips_1step,14,1.0,balance,IS,400,390,6.2,0.0,0.0,16.7,77.2,8.6,10.7,5.7,-1.15,100109.0,16.7,2.3,2
BTCUSD,don20,1h,1.0,1.0,True,fundingpips_1step,7,1.0,ladder,IS,400,390,0.3,0.0,0.0,0.0,99.7,6.3,5.7,2.64,-0.88,100031.0,0.0,1.3,2
BTCUSD,don20,1h,1.0,1.0,True,fundingpips_1step,14,1.0,ladder,IS,400,390,2.6,0.0,0.0,0.0,97.4,8.7,11.3,3.94,-1.01,100044.0,0.0,2.5,2
BTCUSD,don20,1h,1.0,1.0,True,fundingpips_1step,7,1.0,ladder_balance,IS,400,390,0.3,0.0,0.0,0.0,99.7,6.3,5.7,2.65,-0.88,100032.0,0.0,1.3,2
BTCUSD,don20,1h,1.0,1.0,True,fundingpips_1step,14,1.0,ladder_balance,IS,400,390,2.6,0.0,0.0,0.0,97.4,8.7,11.3,3.96,-1.02,100047.0,0.0,2.4,2
BTCUSD,don20,1h,1.0,1.0,True,fundingpips_1step,7,1.5,fixed,IS,400,390,7.4,0.0,0.0,16.2,76.4,4.3,5.4,5.8,-1.6,100098.0,16.2,1.2,2
BTCUSD,don20,1h,1.0,1.0,True,fundingpips_1step,14,1.5,fixed,IS,400,390,15.4,0.0,0.0,33.6,51.0,7.2,9.1,7.44,-1.66,100578.0,33.6,1.8,2
BTCUSD,don20,1h,1.0,1.0,True,fundingpips_1step,7,1.5,balance,IS,400,390,7.7,0.0,0.0,15.1,77.2,4.3,5.5,5.84,-1.62,100086.0,15.1,1.1,2
BTCUSD,don20,1h,1.0,1.0,True,fundingpips_1step,14,1.5,balance,IS,400,390,16.4,0.0,0.0,34.1,49.5,7.4,9.1,7.51,-1.68,100560.0,34.1,1.8,2
BTCUSD,don20,1h,1.0,1.0,True,fundingpips_1step,7,1.5,ladder,IS,400,390,1.8,0.0,0.0,0.0,98.2,4.8,5.7,2.83,-0.99,100044.0,0.0,1.2,2
BTCUSD,don20,1h,1.0,1.0,True,fundingpips_1step,14,1.5,ladder,IS,400,390,5.4,0.0,0.0,0.0,94.6,8.8,11.2,4.28,-1.23,100111.0,0.0,2.3,2
BTCUSD,don20,1h,1.0,1.0,True,fundingpips_1step,7,1.5,ladder_balance,IS,400,390,1.8,0.0,0.0,0.0,98.2,4.8,5.7,2.85,-1.0,100045.0,0.0,1.2,2
BTCUSD,don20,1h,1.0,1.0,True,fundingpips_1step,14,1.5,ladder_balance,IS,400,390,5.6,0.0,0.0,0.0,94.4,8.8,11.2,4.31,-1.24,100122.0,0.0,2.3,2
BTCUSD,don20,1h,1.0,1.0,True,fundingpips_1step,7,2.0,fixed,IS,400,390,12.3,0.0,5.4,27.2,55.1,3.8,4.9,7.19,-2.08,100131.0,32.6,1.1,2
BTCUSD,don20,1h,1.0,1.0,True,fundingpips_1step,14,2.0,fixed,IS,400,390,23.8,0.0,8.7,44.9,22.6,6.8,7.2,8.61,-2.14,100698.0,53.6,1.5,2
