n,pass_pct,fail_daily_pct,fail_max_pct,timeout_pct,days_to_pass_median,trades_mean,max_dd_mean,worst_day_mean,end_balance_mean,symbol,strategy,risk,pass_inconsistent_pct
2400,0.0,0.0,0.0,100.0,,5.0,3.82,-1.05,99683.0,GBPUSD,coin_2R,1.0,
2400,6.5,0.0,11.2,82.2,5.6,4.9,7.6,-2.06,99338.0,GBPUSD,coin_2R,2.0,
2400,20.9,0.0,25.8,53.2,5.6,4.4,10.43,-2.97,98941.0,GBPUSD,coin_2R,3.0,
2400,28.3,0.0,37.8,33.9,5.6,3.7,12.6,-3.94,98691.0,GBPUSD,coin_2R,4.0,
2400,0.0,0.0,0.0,100.0,,5.0,2.91,-1.04,99607.0,GBPUSD,coin_1R,1.0,
2400,0.0,0.0,3.1,96.9,,5.0,5.82,-2.08,99212.0,GBPUSD,coin_1R,2.0,
2400,4.2,0.1,9.3,86.4,5.6,4.8,8.53,-3.1,98782.0,GBPUSD,coin_1R,3.0,
2400,16.6,0.1,29.2,54.0,5.6,4.4,10.64,-4.01,98436.0,GBPUSD,coin_1R,4.0,
2400,0.0,0.0,0.0,100.0,,1.7,1.25,-0.59,99978.0,GBPUSD,ema_trend_h1,1.0,
2400,0.4,0.0,0.0,99.6,5.6,1.6,2.5,-1.17,99954.0,GBPUSD,ema_trend_h1,2.0,
2400,1.5,0.5,0.2,97.8,5.6,1.6,3.74,-1.76,99934.0,GBPUSD,ema_trend_h1,3.0,
2400,2.2,2.5,1.0,94.3,5.6,1.6,4.94,-2.33,99868.0,GBPUSD,ema_trend_h1,4.0,
2400,0.0,0.0,0.0,100.0,,0.5,0.48,-0.23,100029.0,GBPUSD,ema_trend_h4,1.0,
2400,0.4,0.0,0.0,99.6,5.6,0.5,0.95,-0.47,100058.0,GBPUSD,ema_trend_h4,2.0,
2400,0.5,0.0,0.0,99.5,5.6,0.5,1.43,-0.7,100086.0,GBPUSD,ema_trend_h4,3.0,
2400,0.9,0.2,0.2,98.7,5.6,0.5,1.91,-0.94,100108.0,GBPUSD,ema_trend_h4,4.0,
2400,0.0,0.0,0.0,100.0,,5.0,3.52,-1.06,99911.0,USDJPY,momentum_2R,1.0,
2400,5.7,0.1,7.8,86.4,5.6,4.9,7.0,-2.1,99804.0,USDJPY,momentum_2R,2.0,
2400,19.8,0.3,22.6,57.3,5.6,4.5,9.66,-3.04,99713.0,USDJPY,momentum_2R,3.0,
2400,28.7,0.2,34.5,36.6,5.6,3.8,11.66,-3.98,99629.0,USDJPY,momentum_2R,4.0,
2400,0.0,0.0,0.0,100.0,,5.0,3.59,-1.06,99601.0,USDJPY,meanrev_2R,1.0,
2400,5.1,0.3,7.4,87.2,5.6,4.9,7.15,-2.1,99182.0,USDJPY,meanrev_2R,2.0,
2400,17.3,0.4,25.4,56.9,5.6,4.5,9.9,-3.05,98788.0,USDJPY,meanrev_2R,3.0,
2400,24.9,0.5,38.4,36.2,5.6,3.9,11.93,-3.99,98510.0,USDJPY,meanrev_2R,4.0,
2400,0.0,0.0,0.0,100.0,,5.0,3.58,-1.06,99583.0,USDJPY,coin_2R,1.0,
2400,4.3,0.0,6.6,89.0,5.6,4.9,7.11,-2.1,99152.0,USDJPY,coin_2R,2.0,
2400,15.4,0.2,23.7,60.7,5.6,4.6,9.93,-3.06,98711.0,USDJPY,coin_2R,3.0,
