sym,mult,step,lv,sl,tp,final_equity,net,usd_per_hour,usd_per_hour_first_year,max_dd_usd,max_dd_pct,min_equity,ruined_at,stopouts,baskets_closed,sl_hits,tp_hits,max_lots,max_positions,worst_basket,yearly,ruin
EURUSD,1.5,40,6,100,6,0.0,-1000.0,-0.0223,-0.0694,1068.32,100.0,0.0,2015-03-20 15:00:00,1,3780,30,3749,0.15,6,-165.19,"{'2012': 2.36, '2013': -492.03, '2014': -79.55, '2015': -430.78, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.5,40,6,100,10,0.0,-1000.0,-0.0223,-0.0345,1023.27,100.0,0.0,2015-06-02 16:00:00,0,3399,44,3355,0.15,6,-165.19,"{'2012': -29.26, '2013': -235.26, '2014': 151.61, '2015': -887.09, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.5,40,6,100,15,719.47,-280.53,-0.0063,0.0056,1443.81,92.3,120.36,,0,5266,87,5179,0.15,6,-231.61,"{'2012': -3.89, '2013': 144.84, '2014': 281.86, '2015': -1084.1, '2016': 123.01, '2017': 257.76}",False
EURUSD,1.5,40,6,150,6,0.0,-1000.0,-0.0223,-0.0934,1145.2,100.0,0.0,2014-10-08 20:00:00,1,2775,15,2759,0.15,6,-295.92,"{'2012': -35.12, '2013': -665.31, '2014': -299.57, '2015': 0.0, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.5,40,6,150,10,0.0,-1000.0,-0.0223,-0.0362,1393.99,100.0,0.0,2015-03-18 22:00:00,0,2832,24,2808,0.15,6,-324.6,"{'2012': 38.71, '2013': -368.16, '2014': 45.65, '2015': -716.2, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.5,40,6,150,15,0.0,-1000.0,-0.0223,-0.0114,1606.43,100.0,0.0,2015-05-26 09:00:00,3,2494,30,2461,0.16,6,-324.6,"{'2012': 68.57, '2013': -127.07, '2014': 383.36, '2015': -1324.86, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.5,40,6,200,6,0.0,-1000.0,-0.0223,-0.0611,1068.32,100.0,0.0,2015-01-15 11:00:00,1,3185,13,3171,0.16,6,-396.36,"{'2012': -98.3, '2013': -318.82, '2014': -262.66, '2015': -320.22, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.5,40,6,200,10,0.0,-1000.0,-0.0223,-0.0018,1293.31,100.0,0.0,2015-03-18 22:00:00,0,2772,18,2754,0.16,6,-396.36,"{'2012': -24.08, '2013': -49.1, '2014': 51.84, '2015': -978.66, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.5,40,6,200,15,0.0,-1000.0,-0.0223,0.0128,1538.0,100.0,0.0,2015-07-31 15:00:00,3,2743,27,2713,0.18,6,-324.6,"{'2012': 4.28, '2013': 101.39, '2014': 222.61, '2015': -1328.28, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.5,60,3,60,6,0.0,-1000.0,-0.0223,-0.0491,1004.31,100.0,0.0,2015-03-18 22:00:00,0,2975,41,2934,0.06,3,-102.13,"{'2012': -57.2, '2013': -371.24, '2014': -185.69, '2015': -385.88, '2016': 0.0, '2017': 0.0}",True
