final_equity,net,usd_per_hour,usd_per_hour_first_year,max_dd_usd,max_dd_pct,min_equity,ruined_at,stopouts,baskets_closed,sl_hits,tp_hits,max_lots,max_positions,worst_basket,trend_filter,step_pips,max_levels,basket_sl_usd,tp_pips,base_lot,sym,ok
0.0,-1000.0,-0.0223,-0.0572,1006.26,100.0,0.0,2015-05-19 16:00:00,3,2103,21,2079,0.06,3,-182.42,100,25,3,150,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0432,1008.79,100.0,0.0,2016-06-24 02:00:00,1,2100,13,2086,0.06,3,-260.82,100,25,3,250,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0978,1008.07,100.0,0.0,2014-01-02 17:00:00,4,1547,31,1512,0.1,5,-111.57,100,25,5,80,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0719,1008.07,100.0,0.0,2014-09-19 10:00:00,1,1970,21,1948,0.1,5,-165.8,100,25,5,150,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0824,1008.07,100.0,0.0,2014-09-08 01:00:00,3,1531,10,1518,0.1,5,-287.22,100,25,5,250,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0891,1008.07,100.0,0.0,2014-02-12 13:00:00,6,1715,32,1677,0.1,7,-122.83,100,25,8,80,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.1142,1008.07,100.0,0.0,2013-11-05 10:00:00,1,1297,16,1280,0.13,8,-186.01,100,25,8,150,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.1142,1008.07,100.0,0.0,2013-07-05 02:00:00,5,813,6,802,0.15,8,-316.28,100,25,8,250,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0539,1001.77,100.0,0.0,2015-05-27 09:00:00,3,2456,41,2412,0.06,3,-131.88,100,40,3,80,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0504,1001.77,100.0,0.0,2015-07-15 15:00:00,3,2210,21,2186,0.06,3,-179.3,100,40,3,150,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0606,1001.77,100.0,0.0,2016-06-24 02:00:00,0,2289,13,2276,0.06,3,-278.14,100,40,3,250,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0824,1006.25,100.0,0.0,2014-09-19 15:00:00,3,1970,35,1932,0.08,5,-115.33,100,40,5,80,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.071,1006.25,100.0,0.0,2015-05-01 17:00:00,2,2600,24,2574,0.1,5,-178.08,100,40,5,150,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.1142,1006.25,100.0,0.0,2013-09-20 16:00:00,5,776,6,765,0.1,5,-279.47,100,40,5,250,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.084,1006.25,100.0,0.0,2014-09-18 00:00:00,5,1959,34,1920,0.09,6,-115.33,100,40,8,80,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0602,1008.6,100.0,0.0,2014-10-15 14:00:00,2,1961,19,1940,0.11,8,-197.36,100,40,8,150,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.1142,1008.6,100.0,0.0,2013-06-18 19:00:00,4,626,5,617,0.13,8,-302.32,100,40,8,250,10,0.01,GBPUSD,False
