final_equity,net,usd_per_hour,usd_per_hour_first_year,max_dd_usd,max_dd_pct,min_equity,ruined_at,stopouts,baskets_closed,sl_hits,tp_hits,max_lots,max_positions,worst_basket,trend_filter,step_pips,max_levels,basket_sl_usd,tp_pips,base_lot,sym,ok
1375.76,375.76,0.0084,0.004,952.46,66.8,472.42,,0,2014,32,1982,0.12,3,-299.65,200,60,3,250,20,0.02,EURUSD,False
1342.0,342.0,0.0076,-0.0121,1026.41,60.5,669.56,,0,1899,30,1869,0.12,3,-299.65,400,60,3,250,20,0.02,EURUSD,False
1248.86,248.86,0.0055,-0.01,1010.11,55.9,797.56,,0,2324,61,2263,0.12,3,-257.39,400,60,3,150,20,0.02,EURUSD,False
1173.25,173.25,0.0039,-0.0097,441.15,38.8,696.7,,0,1687,22,1665,0.06,3,-183.41,400,60,3,150,20,0.01,EURUSD,False
1124.96,124.96,0.0028,0.0065,320.36,28.8,792.7,,0,1526,13,1513,0.06,3,-266.49,50,40,3,250,20,0.01,EURUSD,False
1057.2,57.2,0.0013,0.007,320.71,28.1,819.36,,0,1299,13,1286,0.06,3,-264.78,100,15,3,250,20,0.01,EURUSD,False
1025.79,25.79,0.0006,0.0052,685.16,50.7,666.88,,0,2008,42,1966,0.12,3,-313.11,100,15,3,250,20,0.02,EURUSD,False
879.51,-120.49,-0.0027,-0.022,530.33,41.8,673.24,,0,3300,13,3287,0.1,5,-299.77,400,60,5,250,10,0.01,EURUSD,False
843.44,-156.56,-0.0035,-0.0327,1088.23,80.2,268.01,,0,2512,43,2469,0.18,5,-337.56,200,60,5,250,20,0.02,EURUSD,False
803.19,-196.81,-0.0044,-0.0383,809.39,73.3,294.38,,0,3643,15,3628,0.13,8,-343.97,400,60,8,250,10,0.01,EURUSD,False
795.62,-204.38,-0.0046,-0.0188,520.8,45.3,627.94,,0,3451,14,3437,0.1,5,-299.77,200,60,5,250,10,0.01,EURUSD,False
701.4,-298.6,-0.0067,-0.0168,947.61,70.5,397.27,,0,2656,46,2610,0.18,5,-337.56,100,60,5,250,20,0.02,EURUSD,False
576.08,-423.92,-0.0094,-0.0296,600.15,59.5,407.85,,0,2282,10,2272,0.06,3,-269.06,400,60,3,250,10,0.01,EURUSD,False
536.7,-463.3,-0.0103,-0.0524,1189.29,80.5,287.9,,0,2328,41,2287,0.18,5,-337.56,400,60,5,250,20,0.02,EURUSD,False
512.83,-487.17,-0.0109,-0.039,811.37,71.6,321.22,,0,3497,16,3481,0.1,5,-296.5,400,40,5,250,10,0.01,EURUSD,False
435.63,-564.37,-0.0126,-0.016,960.96,81.9,212.51,,0,3640,16,3624,0.1,5,-299.77,50,60,5,250,10,0.01,EURUSD,False
433.29,-566.71,-0.0126,-0.0279,641.66,63.7,366.34,,0,2189,10,2179,0.06,3,-261.88,200,60,3,250,10,0.01,EURUSD,False
360.4,-639.6,-0.0143,-0.0177,998.29,86.2,160.32,,0,3558,16,3542,0.1,5,-299.77,100,60,5,250,10,0.01,EURUSD,False
349.36,-650.64,-0.0145,-0.0059,660.94,65.6,347.25,,0,2358,13,2345,0.06,3,-264.78,50,15,3,250,10,0.01,EURUSD,False
