dt,EURUSD,GBPUSD,COMBINADO
2019-08-15,1269.1900000000085,710.4299999999375,979.619999999946
2019-08-16,1269.9800000000087,710.2499999999375,980.2299999999461
2019-08-17,,,
2019-08-18,,,
2019-08-19,1267.5600000000088,710.0699999999374,977.6299999999462
2019-08-20,1271.840000000009,726.6999999999374,998.5399999999463
2019-08-21,1268.660000000009,726.5199999999373,995.1799999999462
2019-08-22,1267.840000000009,723.9999999999375,991.8399999999465
2019-08-23,1280.185000000009,722.8099999999378,1002.9949999999467
2019-08-24,,,
2019-08-25,,,
2019-08-26,1276.355000000009,732.2299999999377,1008.5849999999468
2019-08-27,1275.8500000000095,733.2999999999378,1009.1499999999473
2019-08-28,1273.1100000000092,746.0999999999378,1019.2099999999471
2019-08-29,1270.5500000000088,745.9199999999378,1016.4699999999466
2019-08-30,1258.1800000000082,745.7399999999377,1003.919999999946
2019-08-31,,,
2019-09-01,,,
2019-09-02,1254.5900000000083,739.8299999999372,994.4199999999455
2019-09-03,1257.6900000000078,707.4299999999376,965.1199999999453
2019-09-04,1266.965000000008,683.1099999999383,950.0749999999464
2019-09-05,1271.350000000008,675.4849999999385,946.8349999999466
2019-09-06,1271.1700000000083,667.8099999999384,938.9799999999468
2019-09-07,,,
2019-09-08,,,
2019-09-09,1270.9900000000084,673.8949999999393,944.8849999999477
2019-09-10,1270.8100000000086,681.4849999999396,952.2949999999482
2019-09-11,1275.410000000009,684.7199999999397,960.1299999999487
2019-09-12,1283.9650000000083,704.5849999999392,988.5499999999474
2019-09-13,1286.8100000000084,678.0199999999398,964.8299999999481
2019-09-14,,,
2019-09-15,,,
2019-09-16,1286.2600000000086,687.2499999999399,973.5099999999484
2019-09-17,1302.2250000000083,685.6099999999402,987.8349999999486
2019-09-18,1299.8000000000086,700.769999999941,1000.5699999999497
2019-09-19,1301.8600000000088,690.7449999999412,992.60499999995
2019-09-20,1298.9800000000082,696.7899999999418,995.76999999995
2019-09-21,,,
2019-09-22,,,
2019-09-23,1293.3100000000084,696.6099999999417,989.91999999995
2019-09-24,1298.5500000000084,696.4299999999416,994.97999999995
2019-09-25,1284.590000000008,696.2499999999416,980.8399999999497
2019-09-26,1282.0100000000077,699.1799999999405,981.1899999999482
2019-09-27,1287.5000000000077,693.1149999999409,980.6149999999486
2019-09-28,,,
2019-09-29,,,
2019-09-30,1279.4900000000077,692.9049999999409,972.3949999999486
2019-10-01,1286.0800000000077,680.5449999999411,966.6249999999486
2019-10-02,1290.365000000008,702.6199999999411,992.9849999999492
2019-10-03,1290.615000000008,695.9299999999419,986.5449999999498
2019-10-04,1291.885000000008,695.7499999999418,987.6349999999497
2019-10-05,,,
2019-10-06,,,
2019-10-07,1291.0550000000082,695.5699999999417,986.62499999995
2019-10-08,1289.4650000000083,689.1799999999423,978.6449999999506
2019-10-09,1290.8150000000085,692.3899999999423,983.2049999999508
2019-10-10,1295.0600000000086,694.4699999999428,989.5299999999515
2019-10-11,1294.8800000000087,677.4049999999437,972.2849999999526
2019-10-12,,,
2019-10-13,,,
2019-10-14,1294.700000000009,673.0249999999438,967.7249999999526
2019-10-15,1294.520000000009,702.8649999999437,997.3849999999529
2019-10-16,1294.3400000000092,721.3799999999444,1015.7199999999536
2019-10-17,1294.1600000000094,731.4749999999451,1025.6349999999545
2019-10-18,1293.9800000000096,746.1649999999456,1040.1449999999552
2019-10-19,,,
2019-10-20,,,
2019-10-21,1293.8000000000097,751.5199999999465,1045.3199999999563
2019-10-22,1293.62000000001,763.2449999999463,1056.8649999999561
2019-10-23,1293.44000000001,773.5199999999469,1066.9599999999568
2019-10-24,1293.2600000000102,776.4649999999469,1069.7249999999572
2019-10-25,1293.0800000000104,777.9799999999473,1071.0599999999577
2019-10-26,,,
2019-10-27,,,
2019-10-28,1292.9000000000106,782.364999999947,1075.2649999999576
2019-10-29,1292.7200000000107,799.704999999947,1092.4249999999574
2019-10-30,1292.5400000000109,805.7749999999475,1098.3149999999582
2019-10-31,1292.360000000011,809.2649999999486,1101.6249999999595
2019-11-01,1292.1800000000112,811.2249999999487,1103.4049999999597
2019-11-02,,,
2019-11-03,,,
2019-11-04,1292.0000000000114,812.8099999999487,1104.80999999996
2019-11-05,1291.8200000000115,815.8999999999486,1107.7199999999602
2019-11-06,1291.6400000000117,815.4699999999489,1107.1099999999606
2019-11-07,1291.4600000000119,808.3299999999485,1099.7899999999604
2019-11-08,1291.280000000012,802.1299999999487,1093.4099999999607
2019-11-09,,,
2019-11-10,,,
2019-11-11,1291.1000000000122,816.6299999999488,1107.729999999961
2019-11-12,1290.9200000000124,816.4499999999488,1107.3699999999612
2019-11-13,1290.7400000000125,816.2699999999487,1107.009999999961
2019-11-14,1290.5600000000127,816.0899999999486,1106.6499999999614
2019-11-15,1290.3800000000128,815.9099999999486,1106.2899999999613
2019-11-16,,,
2019-11-17,,,
2019-11-18,1290.200000000013,819.279999999949,1109.4799999999623
2019-11-19,1290.0200000000132,823.5949999999491,1113.6149999999625
2019-11-20,1289.8400000000133,825.0699999999491,1114.9099999999626
2019-11-21,1289.6600000000135,833.3299999999498,1122.9899999999634
2019-11-22,1289.4800000000137,833.1499999999497,1122.6299999999633
2019-11-23,,,
2019-11-24,,,
