ema_len,dc_len,sl_mult,trail_mult,adx_min,allow_short,is_net,is_pf,oos_net,oos_pf,oos_dd,oos_trades
200,20,3.0,2.0,0.0,1,27.05,1.018,234.23,1.128,290.04,377
200,20,3.0,2.0,20.0,0,56.42,1.055,25.24,1.028,293.75,185
200,20,3.0,2.0,20.0,1,-111.8,0.924,175.4,1.101,232.54,353
200,20,3.0,2.0,25.0,0,71.09,1.08,-223.9,0.674,302.55,134
200,20,3.0,2.0,25.0,1,-141.32,0.89,138.52,1.097,266.49,300
200,20,3.0,3.0,0.0,0,464.03,1.444,92.62,1.098,253.02,152
200,20,3.0,3.0,0.0,1,533.41,1.297,-248.03,0.7,300.05,115
200,20,3.0,3.0,20.0,0,348.49,1.359,-208.62,0.774,301.17,139
200,20,3.0,3.0,20.0,1,264.18,1.157,-217.08,0.869,302.46,233
200,20,3.0,3.0,25.0,0,195.75,1.222,62.84,1.082,258.33,123
200,20,3.0,3.0,25.0,1,200.52,1.13,-151.82,0.89,301.46,197
200,20,3.0,4.0,0.0,0,588.73,1.542,-160.12,0.831,303.17,109
200,20,3.0,4.0,0.0,1,369.29,1.206,-135.14,0.897,301.73,137
200,20,3.0,4.0,20.0,0,627.27,1.623,-138.84,0.844,300.28,103
200,20,3.0,4.0,20.0,1,359.75,1.207,-94.24,0.944,301.33,194
200,20,3.0,4.0,25.0,0,604.0,1.657,119.47,1.141,268.92,107
200,20,3.0,4.0,25.0,1,322.69,1.197,80.5,1.057,301.39,166
200,55,2.0,2.0,0.0,0,164.17,1.191,47.8,1.07,251.87,137
200,55,2.0,2.0,0.0,1,28.49,1.019,321.84,1.246,185.33,249
200,55,2.0,2.0,20.0,0,167.76,1.202,25.77,1.038,262.81,133
200,55,2.0,2.0,20.0,1,-153.79,0.895,266.68,1.209,197.63,240
200,55,2.0,2.0,25.0,0,220.95,1.329,-241.39,0.59,301.89,110
200,55,2.0,2.0,25.0,1,-48.98,0.962,156.42,1.139,220.65,212
200,55,2.0,3.0,0.0,0,256.2,1.295,-264.76,0.633,300.48,109
200,55,2.0,3.0,0.0,1,317.25,1.206,-210.82,0.63,300.91,78
200,55,2.0,3.0,20.0,0,202.3,1.235,-255.97,0.628,300.2,101
200,55,2.0,3.0,20.0,1,41.69,1.031,-210.28,0.629,300.37,76
200,55,2.0,3.0,25.0,0,94.15,1.126,-260.78,0.577,302.54,93
200,55,2.0,3.0,25.0,1,-5.36,0.996,-211.22,0.577,301.31,66
200,55,2.0,4.0,0.0,0,358.04,1.398,-193.57,0.732,300.49,94
200,55,2.0,4.0,0.0,1,223.26,1.138,-81.25,0.93,301.18,154
200,55,2.0,4.0,20.0,0,302.59,1.335,-225.3,0.697,300.83,96
